user,text,latitude,longitude
masalawalacafe,b'We are closed this week for some much needed family time ??? back from next week for more delicious masala goodness? https://t.co/bzQDrvzDeA',51.46539885,-0.03589592
masalawalacafe,"b'Eid Mubarak to all celebrating, we will be tucking into some Gajar ka Halwa with lots of masala chai ??\nOur restaur? https://t.co/DgWd7JBeuR'",51.46539885,-0.03589592
thebrockleydeli,"b'Breakfast or lunch, served with a salad ? @ The Brockley Deli Limited https://t.co/oEipSsYGoH'",51.4657526,-0.0361198
hannahlouise_82,b'? \n#virginiawoolf #beautifulquotes \n#womenrule @ New Cross https://t.co/ogASCNwlG3',51.4709,-0.0337
kimbuikema,b'One of my favs. ?????? @ New Cross https://t.co/FrW2ui7cXs',51.4709,-0.0337
MadneeMusic,b'We?re playing at @newcrossinn this Thursday at 8ish! Supporting @LunaRosax themagiclotusband &amp; thegulps - Ticket li? https://t.co/XVZau26Wu1',51.47579741,-0.03713696
AlyaElouissi,b'??? #rbemusicshowcase #music #love #passion [LINK IN BIO] #singer #songwriter #artist #lovemyjob #singing? https://t.co/w4BZs9KbDx',51.4757216,-0.0324715
andrewrenton,"b'Samuel Beckett, reading. Berlin, 1969. \n#samuelbeckett @ Goldsmiths, University of London https://t.co/5D7JlTCcZf'",51.47438093,-0.03646502
bashredford,"b'Might look like lemon, but it?s a bloody courgette. @ The Flower Of Kent Pub https://t.co/Fln3i5cOYi'",51.47219302,-0.03102069
AldePerez,"b'""Open For Business"" - Having a Fag in Soho\n.\n.\n.\n.\n.\n.\n.\n.\n.\n#streetphotography \n#candidshot \n#myspc? https://t.co/7cipSD3b7U'",51.47354,-0.027229
TheBigGayAl,b'This is me at peak 70?s!! Could do with this shirt/jumper combo for the @wedogooddisco Abigail?s Party screening th? https://t.co/tGA8W9HWwk',51.47028,-0.03202
napolitanobrew,b'Drinking an Inhaler by @MagicRockBrewCo @ Hanks ? https://t.co/Xg0fusYvpF',51.4786,-0.026761
localangle,b'Wisdom In Chains + Knuckledust at New Cross Inn later this evening. More details at https://t.co/iKlQ9JOhX0',51.47550713,-0.03838064
theadobros,"b'Trialled out a new dish for us - piaparan na manok - at our supper club last night, with some positive responses. ?? https://t.co/bL4CMb1zg4'",51.47569574,-0.03379424
Austine_Moe,"b'Run commute from Wimbledon Park to New Cross post JPR volunteering. @ Marquis Of Granby, New Cross https://t.co/L4WUqJwxaN'",51.4755652,-0.036033
trafficgifs,b'A2 New Cross Road at Nettleton Road https://t.co/7rQBuvHPto',51.4744,-0.04328
loveofmylifelb,b'Lady a dubz &amp; boxerBanton @ladyvdubz @boxerbantondnb ???????? @ New Cross Inn https://t.co/lWCmvVboxS',51.47579741,-0.03713696
loveofmylifelb,b'You always look ? better when you smile ? ??? #mantra #smilingsmyfavorite #killdemwithkindness ? injamusic @ New Cr? https://t.co/9Gv26RJiSA',51.47579741,-0.03713696
loveofmylifelb,b'Them local turn outs ?? @ New Cross Inn https://t.co/fF41GBswKe',51.47579741,-0.03713696
SAriahKx,b'Well deserved drinks with martib_xo #HappyFriday ? @ The Fat Walrus https://t.co/F9ERCSxOo3',51.4739849,-0.033874
trafficgifs,"b""A2 New Cross Road at St James's https://t.co/9gi582FvXL""",51.475,-0.03958
stolenbikesus,b'STOLEN - Black Cannondale Supersix evo   https://t.co/GpSCqejUmm https://t.co/GoTt8pmjtV',51.4768849,-0.0370313
